State/Territory,Number of Airports
Alabama,180
Alaska,573
American Samoa,3
Arizona,184
Arkansas,230
California,485
Colorado,267
Connecticut,48
Delaware,28
District of Columbia,3
Florida,489
Georgia,332
Guam,2
Hawaii,31
Idaho,247
Illinois,431
Indiana,357
Iowa,198
Kansas,342
Kentucky,146
Louisiana,245
Maine,120
Maryland,137
Massachusetts,70
Michigan,329
Minnesota,298
Mississippi,192
Missouri,359
Montana,258
Nebraska,205
Nevada,99
New Hampshire,57
New Jersey,92
New Mexico,129
New York,344
North Carolina,342
North Dakota,254
Ohio,397
Oklahoma,364
Oregon,326
Pennsylvania,364
Puerto Rico,14
Rhode Island,9
South Carolina,160
South Dakota,142
Tennessee,221
Texas,1494
Utah,97
Vermont,60
Virgin Islands,2
Virginia,271
Washington,356
West Virginia,71
Wisconsin,410
Wyoming,96