State,Y2021,Y2020,Y2019,Y2018,Y2017,Y2016,Y2015,Y2014,Y2013,Y2012,Y2011,Y2010,Y2009,Y2008,Y2007,Y2006,Y2005,Y2004,Y2003,Y2002,Y2001,Y2000,Y1999,Y1995,Y1990,,,,,,
Alabama,3.6,3.7,3.6,3.7,3.7,3.8,3.9,3.8,3.7,3.6,4.3,4.4,4.4,4.3,4.5,4.9,4.9,4.9,5.2,5.4,5.4,5.5,5.7,6.0,6.1,,,,,,
Alaska,3.1,3.2,3.6,3.7,3.6,3.9,4.1,4.0,4.5,4.5,4.8,4.7,4.4,4.4,4.3,4.2,4.3,4.3,3.9,4.6,4.3,3.9,5.0,5.0,5.5,,,,,,
Arizona,2.7,2.9,2.9,3.0,3.5,3.4,3.6,3.9,3.9,4.3,3.9,3.5,3.6,3.8,4.0,4.0,4.2,4.3,4.4,4.8,4.0,4.6,4.6,6.2,6.9,,,,,,
Arkansas,3.6,3.6,4.0,4.1,3.7,3.9,4.8,4.8,5.0,5.3,5.3,5.7,5.7,5.5,5.9,5.8,6.0,6.1,6.0,6.2,6.2,6.4,6.2,6.3,6.9,,,,,,
California,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4.3,,,,,,
Colorado,3.0,2.9,3.3,3.3,3.2,3.6,3.7,3.9,4.1,4.3,4.4,4.3,4.3,4.3,4.4,4.5,4.4,4.4,4.3,4.7,4.7,4.7,4.8,---,5.5,,,,,,
Connecticut,2.5,1.6,2.7,2.9,2.9,3.2,3.1,2.6,2.8,2.7,3.1,2.9,3.0,3.4,3.2,3.1,3.0,3.1,3.2,3.3,3.2,3.3,3.0,2.9,3.2,,,,,,
Delaware,2.6,2.3,2.9,2.8,3.0,3.1,3.1,3.3,3.4,3.5,3.6,3.5,3.6,3.5,3.7,3.8,3.8,3.7,3.9,3.5,3.9,3.9,4.5,5.0,4.4,,,,,,
District of Columbia,2.6,2.1,2.4,2.5,2.5,2.7,2.8,2.6,2.8,2.9,2.9,2.8,2.7,2.7,1.7,2.1,2.0,1.8,2.0,2.4,2.9,3.2,3.6,3.2,4.5,,,,,,
Florida,3.4,3.0,3.5,3.6,3.6,3.9,4.0,4.0,4.1,4.2,4.5,4.4,4.2,4.3,4.6,4.7,4.6,4.7,5.0,5.1,5.2,5.1,5.1,5.5,6.3,,,,,,
Georgia,2.2,1.9,2.3,2.5,3.5,---,---,---,---,---,---,---,---,---,---,---,---,---,3.2,2.5,3.1,3.3,4.1,5.1,5.5,,,,,,
Hawaii,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3.7,4.0,3.9,3.8,4.6,4.6,,,,,,
Idaho,3.4,3.4,3.9,3.8,3.9,4.0,4.1,4.2,4.5,4.7,4.9,5.2,5.0,4.8,4.9,5.0,5.0,5.0,5.2,5.3,5.3,5.5,5.4,5.8,6.5,,,,,,
Illinois,1.3,1.6,1.3,1.5,1.9,2.2,2.2,2.2,2.3,2.4,2.6,2.6,2.5,2.5,2.6,2.5,2.6,2.6,2.8,2.9,3.2,3.2,3.3,3.2,3.8,,,,,,
Indiana,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,
Iowa,2.3,2.1,2.3,2.2,2.0,1.3,1.2,1.5,1.9,2.2,2.4,2.4,2.4,2.6,2.5,2.7,2.7,2.8,2.8,3.1,3.3,3.3,3.3,3.7,3.9,,,,,,
Kansas,1.9,1.8,2.3,2.3,2.4,2.7,2.8,3.0,3.0,3.4,3.9,3.7,3.6,3.5,3.4,3.1,3.1,3.3,3.3,3.6,3.4,3.6,3.4,4.1,5.0,,,,,,
Kentucky,3.3,3.1,3.4,3.5,3.7,3.8,3.7,3.8,4.2,4.1,4.4,4.5,4.6,4.6,4.6,5.0,4.6,4.9,5.0,5.2,5.1,5.1,5.5,5.9,5.8,,,,,,
Louisiana,2.2,1.4,2.4,1.7,1.9,2.0,2.8,2.3,2.2,---,---,---,---,---,---,---,---,---,3.4,3.3,---,---,---,---,---,,,,,,
Maine,2.7,2.4,3.0,3.2,3.2,3.4,3.4,3.6,4.0,3.9,4.2,4.2,4.1,4.2,4.2,4.2,4.1,4.3,4.4,4.6,4.7,5.0,5.1,4.4,4.3,,,,,,
Maryland,1.6,1.7,2.7,2.4,2.5,2.7,2.6,2.5,2.5,2.8,2.9,2.8,2.8,2.8,2.9,3.0,3.1,3.2,3.2,3.4,3.0,3.3,3.2,3.0,3.4,,,,,,
Massachusetts,1.0,1.0,1.5,2.1,2.2,2.3,2.6,2.7,2.6,2.7,2.7,2.5,2.2,2.0,2.3,2.3,2.2,2.2,2.5,2.5,2.4,2.5,2.5,2.2,2.8,,,,,,
Michigan,2.3,2.1,2.3,2.8,2.8,2.9,3.0,3.0,3.3,3.3,3.4,3.5,3.3,3.4,3.4,3.5,3.4,3.5,3.5,3.8,3.9,3.9,3.8,4.1,4.3,,,,,,
Minnesota,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.8,3.0,3.1,3.2,3.2,3.2,3.4,3.5,,,,,,
Mississippi,3.3,3.3,2.6,2.7,2.9,3.2,3.4,3.4,3.6,4.0,4.0,4.3,4.1,4.3,4.5,4.8,4.4,4.5,4.6,4.9,5.0,5.0,5.0,4.8,5.5,,,,,,
Missouri,2.9,2.7,2.9,3.0,3.1,3.3,3.2,3.3,3.4,3.7,3.9,3.9,3.8,3.7,3.8,3.8,3.6,3.8,3.9,4.0,4.2,4.5,4.4,5.0,5.1,,,,,,
Montana,2.5,2.3,3.0,3.0,3.1,3.1,3.4,3.4,3.4,3.9,4.0,3.9,4.0,4.1,4.0,4.4,4.5,3.8,3.9,4.0,4.2,4.2,2.8,4.8,5.1,,,,,,
Nebraska,2.6,2.8,2.7,2.9,3.0,3.1,3.2,3.1,3.3,3.4,3.5,3.6,3.4,3.3,3.4,3.4,3.3,3.4,3.4,3.6,3.6,3.7,3.7,3.8,4.0,,,,,,
Nevada,4.2,3.0,4.2,4.4,4.5,4.3,4.6,5.3,5.1,5.5,5.6,5.9,6.6,6.4,6.4,6.7,7.4,6.3,7.3,7.1,6.3,9.9,7.8,7.8,11.4,,,,,,
New Hampshire,2.6,2.4,3.1,3.1,3.1,3.4,3.3,3.5,3.7,3.6,3.8,3.8,3.7,3.9,3.8,4.1,3.9,4.0,4.1,4.3,4.4,4.8,5.1,4.2,4.7,,,,,,
New Jersey,2.2,1.7,2.5,2.7,2.6,2.7,2.8,2.8,2.8,2.8,2.9,3.0,2.7,3.0,3.0,3.0,2.9,3.0,3.2,3.4,3.4,3.0,3.0,3.0,3.0,,,,,,
New Mexico,---,---,---,---,---,---,3.3,3.6,3.4,3.0,3.3,4.0,3.9,4.1,4.2,4.3,4.6,4.6,5.2,4.4,4.9,5.1,4.6,6.6,4.9,,,,,,
New York,2.2,1.8,2.9,2.8,2.7,2.7,2.7,2.8,2.7,2.9,2.9,2.9,2.6,2.8,2.9,3.1,2.9,3.0,3.2,3.4,3.5,3.0,3.3,3.0,3.2,,,,,,
North Carolina,3.2,2.8,3.1,3.1,3.1,3.2,3.1,3.4,3.4,3.7,3.7,3.8,3.8,3.8,4.0,4.0,4.1,4.2,4.2,4.4,4.6,4.5,4.6,5.0,5.1,,,,,,
North Dakota,2.9,2.4,2.5,2.6,2.5,2.6,2.8,2.8,2.9,3.1,2.7,3.1,2.8,2.9,2.9,3.0,2.9,3.1,2.9,2.9,2.9,3.4,4.4,3.4,3.6,,,,,,
Ohio,2.6,2.5,2.8,2.9,2.9,3.0,3.1,3.2,3.3,3.4,3.4,3.4,3.3,3.3,3.4,3.5,3.5,3.6,3.7,4.0,4.0,4.2,3.9,4.3,4.7,,,,,,
Oklahoma,3.8,3.5,3.9,3.8,4.1,4.4,4.4,4.5,4.5,4.8,5.2,5.2,4.8,5.3,5.2,5.3,5.6,4.9,---,---,---,---,---,6.6,7.7,,,,,,
Oregon,2.7,2.6,3.2,3.4,3.4,3.4,3.4,3.4,3.6,3.8,3.8,4.0,3.9,3.9,3.9,4.0,4.2,4.1,4.3,4.6,4.8,4.8,4.6,4.7,5.5,,,,,,
Pennsylvania,2.4,2.3,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.3,3.0,3.1,3.1,3.1,3.1,3.1,3.2,3.3,,,,,,
Rhode Island,2.7,1.9,2.7,2.9,2.9,2.8,3.0,2.8,3.1,3.2,3.2,3.2,3.0,2.7,2.8,3.0,3.0,3.1,3.1,3.2,3.2,2.9,2.7,3.6,3.7,,,,,,
South Carolina,2.4,2.0,2.6,2.5,2.6,2.5,2.8,2.9,3.2,3.2,3.2,3.1,3.0,2.8,3.0,2.9,2.9,3.2,3.3,3.4,3.6,3.8,3.8,3.9,4.5,,,,,,
South Dakota,2.5,2.5,2.6,2.6,2.7,2.8,2.6,2.8,2.9,3.0,3.3,3.4,3.3,3.1,3.1,3.2,2.8,3.1,3.0,3.3,3.3,3.5,3.7,3.9,3.7,,,,,,
Tennessee,3.3,3.2,3.5,3.5,3.5,3.8,3.7,3.8,4.1,4.2,4.3,4.2,3.9,4.2,4.3,4.6,4.6,4.9,5.0,5.1,5.2,5.9,5.8,6.2,6.5,,,,,,
Texas,1.4,1.5,2.1,2.6,2.2,2.6,2.6,2.7,2.9,3.0,3.2,3.3,3.3,3.3,3.3,3.4,3.3,3.6,3.8,3.9,4.0,4.0,3.8,5.2,5.5,,,,,,
Utah,3.3,3.3,3.5,3.8,3.4,3.6,3.6,3.1,3.1,3.3,3.7,3.7,3.7,3.8,3.7,3.9,4.1,4.1,4.0,4.1,4.2,4.3,4.0,4.4,5.1,,,,,,
Vermont,2.3,2.1,2.8,3.1,2.9,3.1,3.1,3.5,3.5,3.5,3.6,3.8,3.5,3.6,3.6,3.8,3.6,3.9,4.0,4.2,4.3,4.1,4.4,4.7,4.5,,,,,,
Virginia,3.1,2.6,2.9,3.1,3.0,3.4,3.3,3.5,3.6,3.7,3.8,3.8,3.7,3.8,3.8,4.0,4.0,3.9,4.0,4.2,4.2,4.3,4.4,4.3,4.4,,,,,,
Washington,2.9,2.8,2.8,3.3,3.4,3.5,3.4,3.6,3.8,3.9,4.1,4.2,3.9,3.9,4.0,4.1,4.3,4.3,4.4,4.6,4.5,4.6,5.0,5.4,5.9,,,,,,
West Virginia,2.9,3.1,3.6,3.3,3.5,3.8,4.0,4.2,4.6,4.7,5.2,5.1,5.1,4.8,5.1,5.0,5.1,5.0,5.2,5.2,5.2,5.1,4.9,5.2,5.3,,,,,,
Wisconsin,2.1,2.0,2.3,2.5,2.4,2.6,2.6,2.7,2.8,2.9,2.9,3.0,2.9,3.0,2.9,3.0,2.9,3.0,3.1,3.2,3.2,3.2,3.2,3.4,3.6,,,,,,
Wyoming,3.7,3.8,3.8,3.8,4.0,4.2,4.1,4.6,4.3,4.4,4.8,5.1,5.1,4.9,4.9,5.1,5.2,5.2,5.4,5.4,5.8,5.8,5.7,6.6,6.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--- Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Includes annulments.  Includes divorce petitions filed or legal separations for some counties or States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Rate for 2016 for Texas has been revised.  Rates for 2001-2009 have been revised and are based on intercensal population estimates from the 2000 and 2010 censuses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: CDC/NCHS, National Vital Statistics System.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
